Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
1,116.45123481750488,44.81152916037381,16,bashkortostan,2005,2005-01-01,1
2,120.92574119567871,24.421561343428703,12,bashkortostan,2005,2005-02-01,1
3,124.89349717360277,29.854569599124346,13,bashkortostan,2005,2005-03-01,1
4,89.70014733534593,39.45204592516434,13,bashkortostan,2005,2005-04-01,1
5,127.28502437046596,12.974859042354261,14,bashkortostan,2005,2005-05-01,1
6,125.62740850448608,11.60309030994252,16,bashkortostan,2005,2005-06-01,1
7,132.6705640157064,14.721735512666589,12,bashkortostan,2005,2005-07-01,1
8,129.55937385559082,8.523389763142568,16,bashkortostan,2005,2005-08-01,1
9,124.41480016708374,18.631358949465266,16,bashkortostan,2005,2005-09-01,1
10,123.86614172799247,12.943100051315765,14,bashkortostan,2005,2005-10-01,1
11,138.35294771194458,11.570150893359097,16,bashkortostan,2005,2005-11-01,1
12,122.4253409249442,15.558173042726123,14,bashkortostan,2005,2005-12-01,1
1,94.85559511184692,28.696468231523102,16,bashkortostan,2006,2006-01-01,1
2,107.61210795811245,73.67939439074516,14,bashkortostan,2006,2006-02-01,1
3,141.6253444126674,24.880374793033248,14,bashkortostan,2006,2006-03-01,1
4,175.6619884784405,24.43615145006387,13,bashkortostan,2006,2006-04-01,1
5,140.87578027898616,19.89980603279484,11,bashkortostan,2006,2006-05-01,1
6,152.4832743326823,12.441886874523293,15,bashkortostan,2006,2006-06-01,1
7,147.35470072428384,9.149201507926406,12,bashkortostan,2006,2006-07-01,1
8,151.9659707205636,10.119239816814215,14,bashkortostan,2006,2006-08-01,1
9,142.99536602313702,8.83512379758031,13,bashkortostan,2006,2006-09-01,1
10,126.38448040301984,12.642691589854492,13,bashkortostan,2006,2006-10-01,1
11,144.44717461722237,15.87438112404179,14,bashkortostan,2006,2006-11-01,1
12,135.81324971516926,41.93914503557293,15,bashkortostan,2006,2006-12-01,1
1,113.64390087127686,43.392629832419075,16,bashkortostan,2007,2007-01-01,1
2,94.45952773094177,63.25169529883222,12,bashkortostan,2007,2007-02-01,1
3,106.28608226776123,44.43092300744428,10,bashkortostan,2007,2007-03-01,1
4,134.7706037248884,10.165022071779012,14,bashkortostan,2007,2007-04-01,1
5,119.38498179117839,15.929026179902898,12,bashkortostan,2007,2007-05-01,1
6,123.43257856369019,5.162284365774001,16,bashkortostan,2007,2007-06-01,1
7,123.68903296334403,9.313985635421218,14,bashkortostan,2007,2007-07-01,1
8,128.51548614501954,10.350001283316136,10,bashkortostan,2007,2007-08-01,1
9,134.90648651123047,8.212322409223942,12,bashkortostan,2007,2007-09-01,1
10,128.24530440110428,8.76669124838546,13,bashkortostan,2007,2007-10-01,1
11,126.9380366007487,15.361515823797182,15,bashkortostan,2007,2007-11-01,1
12,136.05779647827148,25.670359788375965,16,bashkortostan,2007,2007-12-01,1
1,132.53009033203125,32.77915473623734,16,bashkortostan,2008,2008-01-01,1
2,66.27935161590577,53.48205872313429,10,bashkortostan,2008,2008-02-01,1
3,98.27791145869664,57.81303671852496,14,bashkortostan,2008,2008-03-01,1
4,124.46843973795573,25.6147641693231,15,bashkortostan,2008,2008-04-01,1
5,141.80875062942505,12.304163034555536,16,bashkortostan,2008,2008-05-01,1
6,145.42998027801514,14.153915093321409,16,bashkortostan,2008,2008-06-01,1
7,140.19280497233072,6.734810123555559,12,bashkortostan,2008,2008-07-01,1
8,140.32237720489502,6.38228884899092,16,bashkortostan,2008,2008-08-01,1
