Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
1,220.80135822296143,29.29173759170816,16,bashkortostan,2005,2005-01-01,1
2,236.70636876424155,29.857595736458812,12,bashkortostan,2005,2005-02-01,1
3,183.8570820735051,74.10750322476152,13,bashkortostan,2005,2005-03-01,1
4,214.02088928222656,35.694044156873524,13,bashkortostan,2005,2005-04-01,1
5,232.74739946637834,14.65021480734531,14,bashkortostan,2005,2005-05-01,1
6,243.70913887023926,10.127787770813791,16,bashkortostan,2005,2005-06-01,1
7,243.18348439534506,11.203309121740446,12,bashkortostan,2005,2005-07-01,1
8,240.44709014892578,11.185076080379979,16,bashkortostan,2005,2005-08-01,1
9,245.5870599746704,13.919101542683958,16,bashkortostan,2005,2005-09-01,1
10,237.62755693708147,13.32844890320804,14,bashkortostan,2005,2005-10-01,1
11,252.49880695343018,17.792800567106568,16,bashkortostan,2005,2005-11-01,1
12,261.0269971575056,15.758361265751832,14,bashkortostan,2005,2005-12-01,1
1,219.134295463562,43.30636475839535,16,bashkortostan,2006,2006-01-01,1
2,203.4806638445173,22.3709351900342,14,bashkortostan,2006,2006-02-01,1
3,228.78267778669084,30.43810400301289,14,bashkortostan,2006,2006-03-01,1
4,246.68690373347357,21.3707209213231,13,bashkortostan,2006,2006-04-01,1
5,239.22089732776988,15.69177060928982,11,bashkortostan,2006,2006-05-01,1
6,254.9639689127604,14.255597859776241,15,bashkortostan,2006,2006-06-01,1
7,251.6950543721517,11.274220297914841,12,bashkortostan,2006,2006-07-01,1
8,258.82891845703125,13.018154771582786,14,bashkortostan,2006,2006-08-01,1
9,251.23990807166467,18.44470012656034,13,bashkortostan,2006,2006-09-01,1
10,245.04981173001804,19.827210615557604,13,bashkortostan,2006,2006-10-01,1
11,230.42038944789343,15.8108521483587,14,bashkortostan,2006,2006-11-01,1
12,252.4508483886719,20.436385193966554,15,bashkortostan,2006,2006-12-01,1
1,239.08388137817383,38.67387034369227,16,bashkortostan,2007,2007-01-01,1
2,216.22040100097655,20.64938207632726,15,bashkortostan,2007,2007-02-01,1
3,240.9005386352539,17.383037331701164,10,bashkortostan,2007,2007-03-01,1
4,247.75296674455916,21.834872734515628,14,bashkortostan,2007,2007-04-01,1
5,237.2286008199056,14.243209983207723,12,bashkortostan,2007,2007-05-01,1
6,232.70344638824463,27.233455242657655,16,bashkortostan,2007,2007-06-01,1
7,252.86018589564733,10.118025015619423,14,bashkortostan,2007,2007-07-01,1
8,248.1069564819336,13.080228578572523,10,bashkortostan,2007,2007-08-01,1
