Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
1,4.843980044126511,0.6222044426367174,16,bashkortostan,2005,2005-01-01,1
2,4.707155644893646,0.46027886098228277,12,bashkortostan,2005,2005-02-01,1
3,5.648459956049919,0.9878855258456293,16,bashkortostan,2005,2005-03-01,1
4,5.364816337823868,0.4181325635801533,16,bashkortostan,2005,2005-04-01,1
5,4.866570264101028,0.42959497933900354,16,bashkortostan,2005,2005-05-01,1
6,5.397845268249512,0.5345288308526412,16,bashkortostan,2005,2005-06-01,1
7,5.325563192367554,0.43559546400598753,12,bashkortostan,2005,2005-07-01,1
8,5.1772142350673676,0.5160126854057675,16,bashkortostan,2005,2005-08-01,1
9,4.838486880064011,0.637841262545837,16,bashkortostan,2005,2005-09-01,1
10,4.389764104570661,0.5930425655130664,14,bashkortostan,2005,2005-10-01,1
11,4.6266352236270905,0.33098842636504855,16,bashkortostan,2005,2005-11-01,1
12,4.557342869894845,0.3901530938412427,14,bashkortostan,2005,2005-12-01,1
1,4.881449475884438,0.901283145024446,16,bashkortostan,2006,2006-01-01,1
2,4.915268012455532,1.3064488451022136,14,bashkortostan,2006,2006-02-01,1
3,4.969824353853862,0.16880526270357113,12,bashkortostan,2006,2006-03-01,1
4,5.794960839407785,0.20253717330753213,14,bashkortostan,2006,2006-04-01,1
5,4.677614862268621,0.9053800916143544,11,bashkortostan,2006,2006-05-01,1
6,5.171982542673747,0.5193393034169679,15,bashkortostan,2006,2006-06-01,1
7,5.37150518099467,0.2602935626321574,12,bashkortostan,2006,2006-07-01,1
8,5.261427811213902,0.37841617245595077,14,bashkortostan,2006,2006-08-01,1
9,4.096435730273907,0.5172135854331201,13,bashkortostan,2006,2006-09-01,1
10,3.730898930476262,0.37143970347798194,13,bashkortostan,2006,2006-10-01,1
11,4.915667874472482,0.46193821314427036,14,bashkortostan,2006,2006-11-01,1
12,4.417782038450241,0.6011437458184483,16,bashkortostan,2006,2006-12-01,1
1,4.875175803899765,0.8671462958526536,16,bashkortostan,2007,2007-01-01,1
2,4.72743984858195,0.6670269929998136,15,bashkortostan,2007,2007-02-01,1
3,4.628857350349426,0.7184982029786521,10,bashkortostan,2007,2007-03-01,1
4,5.410714830671038,0.38644291047320783,14,bashkortostan,2007,2007-04-01,1
5,5.08209627866745,0.5469108892850401,16,bashkortostan,2007,2007-05-01,1
6,5.1091375052928925,0.43443028811296913,16,bashkortostan,2007,2007-06-01,1
7,5.333442313330514,0.28212562728506996,14,bashkortostan,2007,2007-07-01,1
8,5.269207525253296,0.23108963438555719,10,bashkortostan,2007,2007-08-01,1
9,4.739141047000885,0.36635846271893974,12,bashkortostan,2007,2007-09-01,1
10,3.9182295969554355,0.5899455374149193,14,bashkortostan,2007,2007-10-01,1
11,4.506908595561981,0.541299740105259,16,bashkortostan,2007,2007-11-01,1
