Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
1,157.59777116775513,42.2278699975508,16,bashkortostan,2005,2005-01-01,1
2,181.92196210225424,29.80254780191962,12,bashkortostan,2005,2005-02-01,1
3,136.49419256357046,58.760267152205905,13,bashkortostan,2005,2005-03-01,1
4,149.2392812875601,34.61298024552874,13,bashkortostan,2005,2005-04-01,1
5,174.07745688302177,10.129541050667235,14,bashkortostan,2005,2005-05-01,1
6,172.50080490112305,12.800507263416955,16,bashkortostan,2005,2005-06-01,1
7,174.53441619873047,11.62114967736442,12,bashkortostan,2005,2005-07-01,1
8,177.05727672576904,9.665415353179586,16,bashkortostan,2005,2005-08-01,1
9,176.01631546020508,16.58385746223765,16,bashkortostan,2005,2005-09-01,1
10,176.55515834263392,15.569374333135828,14,bashkortostan,2005,2005-10-01,1
11,197.22241020202637,19.97167185541404,16,bashkortostan,2005,2005-11-01,1
12,191.76414053780692,23.645667221571117,14,bashkortostan,2005,2005-12-01,1
1,143.2087640762329,48.98205090688561,16,bashkortostan,2006,2006-01-01,1
2,148.3374971662249,56.33575432586395,14,bashkortostan,2006,2006-02-01,1
3,190.19252123151506,24.99322230029786,14,bashkortostan,2006,2006-03-01,1
4,194.5029742901142,16.512593504591102,13,bashkortostan,2006,2006-04-01,1
5,191.70288779518822,23.08703841290666,11,bashkortostan,2006,2006-05-01,1
6,195.07343648274738,9.394006798104428,15,bashkortostan,2006,2006-06-01,1
7,190.06146876017252,12.177898444271412,12,bashkortostan,2006,2006-07-01,1
8,193.24742998395647,15.318253498360574,14,bashkortostan,2006,2006-08-01,1
9,196.39212388258713,12.263039466540095,13,bashkortostan,2006,2006-09-01,1
10,196.10607205904446,16.990003676763042,13,bashkortostan,2006,2006-10-01,1
11,187.10167040143693,11.753746739504836,14,bashkortostan,2006,2006-11-01,1
12,201.0586924235026,36.81599019286375,15,bashkortostan,2006,2006-12-01,1
1,178.2583408355713,30.75030019623314,16,bashkortostan,2007,2007-01-01,1
2,127.19958368937175,55.54614408804321,15,bashkortostan,2007,2007-02-01,1
3,163.426602935791,41.494549755065144,10,bashkortostan,2007,2007-03-01,1
4,179.4272003173828,16.896502684096646,14,bashkortostan,2007,2007-04-01,1
5,164.13247044881186,16.381051944616026,12,bashkortostan,2007,2007-05-01,1
6,153.14265871047974,23.112343285141055,16,bashkortostan,2007,2007-06-01,1
7,175.83771514892578,12.887229294202532,14,bashkortostan,2007,2007-07-01,1
8,179.27256927490234,8.915557106765638,10,bashkortostan,2007,2007-08-01,1
9,179.05376561482748,11.966337094128258,12,bashkortostan,2007,2007-09-01,1
10,192.43721360426682,9.569156197252726,13,bashkortostan,2007,2007-10-01,1
11,185.1812713623047,17.25013484350625,15,bashkortostan,2007,2007-11-01,1
12,185.1359338760376,30.779926054554,16,bashkortostan,2007,2007-12-01,1
1,186.49085426330566,26.63119096705041,16,bashkortostan,2008,2008-01-01,1
2,122.56707153320312,34.94821673006216,10,bashkortostan,2008,2008-02-01,1
3,142.17365392049155,54.749851321395276,15,bashkortostan,2008,2008-03-01,1
4,185.2777577718099,12.495477998165384,15,bashkortostan,2008,2008-04-01,1
5,189.28334426879883,15.828236656214951,16,bashkortostan,2008,2008-05-01,1
6,187.3957223892212,9.205344503056516,16,bashkortostan,2008,2008-06-01,1
7,184.5935796101888,11.706442348618129,12,bashkortostan,2008,2008-07-01,1
8,189.961932182312,10.438785157723688,16,bashkortostan,2008,2008-08-01,1
9,188.0610752105713,8.719704816663588,16,bashkortostan,2008,2008-09-01,1
10,179.09915974934896,12.116743614655167,15,bashkortostan,2008,2008-10-01,1
11,201.5747480392456,18.00557982300434,16,bashkortostan,2008,2008-11-01,1
12,191.16951847076416,39.90750074196687,16,bashkortostan,2008,2008-12-01,1
1,167.23040184607873,36.161451899247155,13,bashkortostan,2009,2009-01-01,1
2,137.2461327144078,44.592385410493684,14,bashkortostan,2009,2009-02-01,1
3,151.43829536437988,10.092012571430569,16,bashkortostan,2009,2009-03-01,1
4,143.59383290608724,13.043677035413204,15,bashkortostan,2009,2009-04-01,1
5,176.06973552703857,19.46945697969686,16,bashkortostan,2009,2009-05-01,1
6,171.10683949788412,5.722867143436008,12,bashkortostan,2009,2009-06-01,1
7,173.39905261993408,12.379971441109198,16,bashkortostan,2009,2009-07-01,1
8,162.6079339981079,10.239158613030295,16,bashkortostan,2009,2009-08-01,1
9,176.4076156616211,12.766348524875303,16,bashkortostan,2009,2009-09-01,1
