Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
1,2.1533214077353477,0.31922226764524086,16,bashkortostan,2005,2005-01-01,1
2,2.0206224421660104,0.22639028737677824,12,bashkortostan,2005,2005-02-01,1
3,2.160241909325123,0.5175621197691034,16,bashkortostan,2005,2005-03-01,1
4,2.131207652390003,0.39654488261767795,16,bashkortostan,2005,2005-04-01,1
5,1.6506091803312302,0.2599506057563895,16,bashkortostan,2005,2005-05-01,1
6,1.5427230894565582,0.15803925245429645,16,bashkortostan,2005,2005-06-01,1
7,1.5505700310071309,0.08646907385349431,12,bashkortostan,2005,2005-07-01,1
8,1.5524189695715904,0.14202221168247742,16,bashkortostan,2005,2005-08-01,1
9,1.5416848585009575,0.18400971933217544,16,bashkortostan,2005,2005-09-01,1
10,1.6179754478590829,0.20781004924667434,14,bashkortostan,2005,2005-10-01,1
11,1.4187405295670033,0.2696465774118581,16,bashkortostan,2005,2005-11-01,1
12,1.720831343105861,0.25710798615792946,14,bashkortostan,2005,2005-12-01,1
1,2.3114038482308388,0.4374931508113302,16,bashkortostan,2006,2006-01-01,1
2,2.610561898776463,0.4610488237236038,14,bashkortostan,2006,2006-02-01,1
3,1.9857700963815053,0.5749818810482715,12,bashkortostan,2006,2006-03-01,1
4,1.8960670573370797,0.22330070545236405,14,bashkortostan,2006,2006-04-01,1
5,1.8270291090011597,0.15071003769787203,11,bashkortostan,2006,2006-05-01,1
6,1.4523643970489502,0.11717015282957689,15,bashkortostan,2006,2006-06-01,1
7,1.5349437991778057,0.1353572485910525,12,bashkortostan,2006,2006-07-01,1
8,1.4507473281451635,0.1377830455854017,14,bashkortostan,2006,2006-08-01,1
9,1.5796055977161114,0.22277899004563356,13,bashkortostan,2006,2006-09-01,1
10,1.6649099496694713,0.2346347160624666,13,bashkortostan,2006,2006-10-01,1
11,2.0143496223858426,0.10103841787378957,14,bashkortostan,2006,2006-11-01,1
12,1.865022923797369,0.547836953596275,16,bashkortostan,2006,2006-12-01,1
1,2.362491689622402,0.7417107270269071,16,bashkortostan,2007,2007-01-01,1
2,2.3241803487141928,0.39242761223290606,15,bashkortostan,2007,2007-02-01,1
3,2.224177598953247,0.4103455985412401,10,bashkortostan,2007,2007-03-01,1
4,1.9981624228613717,0.4998620480362997,14,bashkortostan,2007,2007-04-01,1
5,2.037247307598591,0.3100003183958765,16,bashkortostan,2007,2007-05-01,1
6,1.7678767666220665,0.23502000993350228,16,bashkortostan,2007,2007-06-01,1
7,1.5450576969555445,0.12097900781243245,14,bashkortostan,2007,2007-07-01,1
8,1.4997349500656127,0.11662630278001015,10,bashkortostan,2007,2007-08-01,1
9,1.6333546340465546,0.13946964833960082,12,bashkortostan,2007,2007-09-01,1
10,1.4979456067085266,0.09734105572208775,14,bashkortostan,2007,2007-10-01,1
11,1.6408511325716972,0.3911141046361073,16,bashkortostan,2007,2007-11-01,1
12,1.9630425050854683,0.30284137911066905,16,bashkortostan,2007,2007-12-01,1
1,1.6774010360240936,0.44291488596689116,16,bashkortostan,2008,2008-01-01,1
2,2.3234464905478736,0.507797967243566,11,bashkortostan,2008,2008-02-01,1
3,2.488912358880043,0.292696859028829,16,bashkortostan,2008,2008-03-01,1
4,1.926844072341919,0.22865612980124328,15,bashkortostan,2008,2008-04-01,1
5,1.713094277041299,0.36438858993464124,14,bashkortostan,2008,2008-05-01,1
6,1.5403598323464394,0.11823137448015622,16,bashkortostan,2008,2008-06-01,1
7,1.484879304965337,0.1456716334358781,12,bashkortostan,2008,2008-07-01,1
8,1.465429574251175,0.1291113638568539,16,bashkortostan,2008,2008-08-01,1
9,1.5716129168868065,0.15503113295341822,16,bashkortostan,2008,2008-09-01,1
10,1.6405311673879623,0.16640361572431459,16,bashkortostan,2008,2008-10-01,1
11,1.654808484017849,0.37141129404429707,16,bashkortostan,2008,2008-11-01,1
12,1.8640014454722404,0.5088451832015396,16,bashkortostan,2008,2008-12-01,1
1,2.069551042148045,0.25052905451718205,14,bashkortostan,2009,2009-01-01,1
2,2.7917397703443254,0.38832490042889795,14,bashkortostan,2009,2009-02-01,1
3,2.5699812322854996,0.3018042003823152,16,bashkortostan,2009,2009-03-01,1
4,2.661086678504944,0.27898208245452444,16,bashkortostan,2009,2009-04-01,1
5,1.8764755576848984,0.13385926985332477,16,bashkortostan,2009,2009-05-01,1
6,1.719672679901123,0.18324250225514094,12,bashkortostan,2009,2009-06-01,1
7,1.6931041702628136,0.1380877851951224,16,bashkortostan,2009,2009-07-01,1
8,1.655819833278656,0.061857672354639806,16,bashkortostan,2009,2009-08-01,1
9,1.6397016867995262,0.08394580015780663,16,bashkortostan,2009,2009-09-01,1
10,1.691096730530262,0.1791823575923799,16,bashkortostan,2009,2009-10-01,1
11,1.6529768109321594,0.34902873293730186,14,bashkortostan,2009,2009-11-01,1
12,1.961101974759783,0.42853130978774223,14,bashkortostan,2009,2009-12-01,1
1,2.2530541121959686,0.19323344621300503,16,bashkortostan,2010,2010-01-01,1
2,2.624380573630333,0.3786613676140071,16,bashkortostan,2010,2010-02-01,1
3,2.5809598490595818,0.4294046825413834,16,bashkortostan,2010,2010-03-01,1
4,2.1819314062595367,0.5279555478369679,12,bashkortostan,2010,2010-04-01,1
5,2.123471163213253,0.13213521662711322,16,bashkortostan,2010,2010-05-01,1
6,1.7173691615462303,0.25428613609528855,16,bashkortostan,2010,2010-06-01,1
7,1.5657055228948593,0.12939037921987484,16,bashkortostan,2010,2010-07-01,1
8,1.5574417784810066,0.192700903895041,16,bashkortostan,2010,2010-08-01,1
9,1.6301240580422538,0.09468880866194092,14,bashkortostan,2010,2010-09-01,1
10,1.7096366584300995,0.20712070796228424,12,bashkortostan,2010,2010-10-01,1
11,1.5708699375391006,0.1549674191811557,16,bashkortostan,2010,2010-11-01,1
12,1.6979671344161034,0.28662878014800075,16,bashkortostan,2010,2010-12-01,1
1,2.0688382759690285,0.394970099162783,16,bashkortostan,2011,2011-01-01,1
2,2.555584281682968,0.4280192811993855,12,bashkortostan,2011,2011-02-01,1
3,2.1263978821890697,0.4292844896566182,14,bashkortostan,2011,2011-03-01,1
4,1.1122687856356304,0.28787528170938587,6,bashkortostan,2011,2011-04-01,1
5,2.080329269170761,0.24492533265952568,16,bashkortostan,2011,2011-05-01,1
6,1.9031704408781869,0.11037053699091669,14,bashkortostan,2011,2011-06-01,1
7,1.4819374233484268,0.09914223589870656,16,bashkortostan,2011,2011-07-01,1
8,1.5872093779700143,0.15601864912310232,14,bashkortostan,2011,2011-08-01,1
9,1.5032907575368881,0.17765181350429987,16,bashkortostan,2011,2011-09-01,1
10,1.6045343428850174,0.13062694847281184,16,bashkortostan,2011,2011-10-01,1
11,1.985583484172821,0.2125938946419807,16,bashkortostan,2011,2011-11-01,1
12,1.5668207630515099,0.28694388379927993,16,bashkortostan,2011,2011-12-01,1
1,2.3835615515708923,0.2850796603943748,12,bashkortostan,2012,2012-01-01,1
2,2.283553458750248,0.31536751941906105,16,bashkortostan,2012,2012-02-01,1
3,2.5875569383303323,0.4145458648032357,12,bashkortostan,2012,2012-03-01,1
4,1.7220586282866341,0.8320027082411251,14,bashkortostan,2012,2012-04-01,1
5,1.7599913626909256,0.22559506944445887,16,bashkortostan,2012,2012-05-01,1
6,1.5835314347193792,0.10487773592779245,13,bashkortostan,2012,2012-06-01,1
7,1.5401201993227005,0.12271291977950688,16,bashkortostan,2012,2012-07-01,1
8,1.4239476237978255,0.13525024106419703,14,bashkortostan,2012,2012-08-01,1
9,1.6131258010864258,0.17302371467620548,16,bashkortostan,2012,2012-09-01,1
10,1.493681326508522,0.18762613478667392,16,bashkortostan,2012,2012-10-01,1
11,1.6426946520805359,0.229154617369319,12,bashkortostan,2012,2012-11-01,1
12,1.7410222217440605,0.17924633487829308,16,bashkortostan,2012,2012-12-01,1
