216.6111297607422,230.1675720214844,224.77639770507807,218.9043731689453,227.58734130859372,220.61204528808597,228.2854461669922,228.1201934814453,213.5164031982422,234.5629730224609,211.2567901611328,228.58538818359372,,,
231.4550018310547,224.63926696777344,223.97216796875,216.6513519287109,226.17942810058597,233.96307373046875,239.3254547119141,227.568359375,219.3451232910156,221.0197906494141,212.7014312744141,221.24810791015625,207.90206909179688,222.52865600585935,225.69309997558597
230.7539825439453,237.8039093017578,226.21031188964844,232.01614379882807,242.9969482421875,236.1944122314453,212.0126495361328,240.13829040527344,,,,,,,
237.1940460205078,225.73794555664065,226.26844787597656,,,,,,,,,,,,
232.87132263183597,225.58071899414065,219.4522705078125,209.7786102294922,228.3705596923828,235.5691680908203,235.88458251953125,254.2734832763672,243.13589477539065,236.9675750732422,,,,,
236.71311950683597,218.14947509765625,250.8182830810547,215.9914093017578,224.4859161376953,219.318359375,239.91213989257807,208.1422576904297,210.83255004882807,220.6256256103516,193.1910552978516,228.324951171875,214.62896728515625,216.8469390869141,225.44679260253903
214.69171142578125,230.25210571289065,218.13824462890625,233.9924774169922,225.42247009277344,230.69097900390625,220.72412109375,227.4934844970703,214.712890625,219.2892303466797,198.60374450683597,217.4342498779297,202.01927185058597,212.3843688964844,
205.0129852294922,218.0271148681641,201.34690856933597,203.0350646972656,206.0477294921875,215.8748779296875,211.4671173095703,219.81787109375,209.64747619628903,198.4175720214844,227.76959228515625,230.674072265625,218.4407958984375,,
176.35736083984375,179.85787963867188,198.8543243408203,185.4217834472656,186.6999969482422,192.4312896728516,192.5554962158203,205.83116149902344,212.29080200195312,216.2181701660156,,,,,
200.7170562744141,205.83181762695312,201.4919891357422,176.87217712402344,175.4432830810547,182.5277404785156,153.11439514160156,170.31434631347656,173.39309692382812,162.3692169189453,187.2997894287109,177.51417541503906,181.0410003662109,168.5998992919922,171.67776489257812
188.51014709472656,175.36495971679688,190.0489196777344,208.828369140625,183.61346435546875,196.85055541992188,194.7709197998047,191.3815155029297,204.99734497070312,,,,,,
186.5780487060547,189.1424102783203,186.10809326171875,176.9351806640625,200.7368927001953,203.4011993408203,206.38047790527344,185.00311279296875,186.9615020751953,224.40159606933597,217.6778717041016,,,,
