199.84771728515625,187.287841796875,168.87826538085938,184.4247131347656,170.28570556640625,173.49942016601562,175.84593200683594,185.3266143798828,181.0690460205078,171.8297576904297,,,,
163.4442901611328,180.8899078369141,199.5207672119141,204.55715942382807,196.66876220703125,214.2597198486328,171.510986328125,185.9694366455078,170.0089874267578,175.74575805664062,141.8725128173828,,,
222.16123962402344,200.3289031982422,151.6542205810547,134.42056274414062,129.3983917236328,137.5362091064453,168.48704528808594,138.11407470703125,,,,,,
154.18475341796875,153.93055725097656,183.3014068603516,174.92103576660156,134.5066375732422,170.48265075683594,173.8074493408203,146.0934600830078,143.88526916503906,140.3529815673828,148.00875854492188,151.06759643554688,173.37083435058594,169.69187927246094
161.58309936523438,176.85150146484375,192.4069366455078,185.4954376220703,173.9458770751953,161.4370574951172,171.43984985351562,203.00152587890625,171.3804168701172,176.0989227294922,165.267822265625,179.45359802246094,,
172.04974365234375,188.16407775878903,199.1620941162109,180.29632568359372,191.1836700439453,190.1626892089844,170.9639892578125,,,,,,,
161.0579833984375,166.56689453125,184.3620758056641,196.1746826171875,183.69200134277344,187.6304473876953,212.2050018310547,237.81381225585935,199.40887451171875,204.9618682861328,,,,
197.2880096435547,171.2398223876953,203.40115356445312,207.20433044433597,177.81504821777344,181.39138793945312,181.7358856201172,182.90087890625,199.5001373291016,181.66200256347656,,,,
176.6653594970703,189.9716644287109,183.88070678710935,183.27944946289065,214.0219573974609,188.6370086669922,190.41622924804688,183.45706176757807,174.63455200195312,,,,,
204.68739318847656,192.79478454589844,189.03892517089844,200.79774475097656,196.7027130126953,207.88758850097656,208.84117126464844,194.92999267578125,165.54176330566406,166.50157165527344,,,,
222.55718994140625,209.50489807128903,200.5218505859375,182.1698455810547,223.3917236328125,217.8915252685547,232.80859375,201.978515625,215.71392822265625,,,,,
211.78988647460935,184.3768768310547,181.5211944580078,190.50230407714844,192.01968383789065,189.7181854248047,207.8955078125,198.65660095214844,,,,,,
