264.6888427734375,259.5466003417969,247.4512481689453,242.53341674804688,216.58189392089844,235.585693359375,241.4609222412109,242.07130432128903,229.60345458984372,234.3676300048828,242.1999664306641,232.3311767578125
227.7166290283203,242.1514892578125,237.4898681640625,244.35797119140625,244.74581909179688,247.79237365722656,237.9935760498047,250.14512634277344,226.1024627685547,,,
241.6148223876953,244.50279235839844,235.1445159912109,234.273681640625,235.2318115234375,248.1614532470703,246.8606719970703,,,,,
230.7917633056641,232.3535614013672,229.0330810546875,222.01144409179688,238.7437744140625,238.2580108642578,,,,,,
213.5031890869141,209.3153381347656,228.2373046875,218.61813354492188,231.51284790039065,254.32455444335935,223.98313903808597,238.1640625,213.89401245117188,238.17857360839844,241.601806640625,245.30245971679688
254.836181640625,259.87939453125,243.100341796875,220.21641540527344,249.9283142089844,244.4426727294922,232.1190948486328,235.2879943847656,251.90118408203125,217.84767150878903,,
238.23089599609372,235.60459899902344,242.5552978515625,235.74847412109372,226.0583648681641,229.28927612304688,229.61566162109372,238.6579132080078,257.0340576171875,,,
242.103515625,238.2774658203125,250.3088531494141,242.2318572998047,243.39797973632807,230.76516723632807,225.62548828125,246.6501617431641,249.5873107910156,242.76931762695312,,
233.92877197265625,234.7672119140625,225.41326904296875,218.91244506835935,231.35850524902344,222.46961975097656,230.90663146972656,253.88726806640625,238.74850463867188,,,
226.0929718017578,244.11985778808597,235.9416656494141,255.94329833984372,233.22494506835935,,,,,,,
238.3045654296875,236.40945434570312,227.79031372070312,238.15118408203125,220.7491912841797,241.8373107910156,238.4016265869141,222.20591735839844,236.06163024902344,228.9984436035156,230.39166259765625,
231.1511688232422,235.1664276123047,243.529541015625,244.06427001953125,223.1143798828125,235.7645568847656,243.24359130859372,268.1723022460937,248.22592163085935,259.32623291015625,239.80967712402344,
