164.13836669921875,165.3256072998047,132.04241943359375,120.5988540649414,143.42529296875,163.2584686279297,158.53050231933594,167.457763671875,174.58714294433594,154.98117065429688,152.7994842529297,177.50364685058594,185.3085784912109,,,
149.34632873535156,160.88058471679688,186.8088836669922,180.6375732421875,175.75616455078125,162.96969604492188,162.59921264648438,167.72879028320312,,,,,,,,
196.2462158203125,186.8543243408203,166.6321258544922,172.97283935546875,180.8318328857422,188.58087158203125,165.60984802246094,155.67880249023438,156.383056640625,159.71693420410156,121.57144927978516,133.82907104492188,,,,
180.01126098632812,167.94358825683594,207.30923461914065,154.62759399414062,156.81959533691406,158.5892791748047,134.67593383789062,139.58102416992188,160.77630615234375,140.9454803466797,121.08277893066406,136.48194885253906,155.7108612060547,,,
161.39895629882812,137.62728881835938,203.97262573242188,185.50567626953125,183.2933807373047,210.62957763671875,222.309814453125,194.1496124267578,155.4048309326172,217.23941040039065,213.55270385742188,,,,,
239.93771362304688,233.49935913085935,107.21146392822266,107.28646850585938,186.9214630126953,180.75477600097656,145.90274047851562,156.4123077392578,,,,,,,,
186.21897888183597,181.78013610839844,150.8682098388672,150.55642700195312,158.97811889648438,169.6617431640625,176.38067626953125,147.7081298828125,168.78965759277344,170.83084106445312,,,,,,
177.9883270263672,191.30224609375,120.6452407836914,147.87860107421875,,,,,,,,,,,,
173.15945434570312,157.18226623535156,171.58412170410156,157.73452758789062,162.4050750732422,139.59642028808594,154.23597717285156,150.86236572265625,189.6648712158203,180.1060028076172,171.96054077148438,208.48179626464844,183.7281036376953,184.2848663330078,182.81288146972656,188.2452392578125
197.7212371826172,176.75733947753906,186.96620178222656,188.7149810791016,181.90513610839844,206.05960083007807,159.8589324951172,153.26492309570312,148.3359375,153.42855834960938,184.38119506835935,142.46676635742188,131.76416015625,151.32110595703125,156.42662048339844,
157.4002227783203,147.99295043945312,155.1791534423828,154.06634521484375,158.89230346679688,176.1448516845703,176.38131713867188,149.40370178222656,126.74034881591795,124.35970306396484,118.70494079589844,165.1320343017578,181.0731658935547,,,
132.8773193359375,129.9635467529297,197.38235473632807,212.3933258056641,157.51744079589844,150.17437744140625,140.4584503173828,119.5338363647461,124.09197998046876,149.15255737304688,,,,,,
