192.6376495361328,190.239013671875,196.4375457763672,218.65200805664065,222.72067260742188,258.2912292480469,257.6939392089844,280.30865478515625,254.7955322265625,253.2820281982422,215.07858276367188,233.33497619628903,220.7279052734375,241.40933227539065,266.33709716796875,,,
229.1698760986328,266.1168212890625,240.7333068847656,218.29034423828125,259.1138916015625,284.05731201171875,242.28094482421875,226.88304138183597,271.7054748535156,254.70654296875,238.2281951904297,252.9402008056641,,,,,,
237.2573089599609,245.5811920166016,239.62161254882807,233.1767120361328,221.130126953125,248.2429962158203,246.27940368652344,219.63949584960935,257.0133972167969,272.8389892578125,253.4129638671875,244.8242034912109,254.62060546875,252.31002807617188,263.8309326171875,271.3609313964844,274.0425109863281,
271.20489501953125,266.06982421875,254.8169708251953,254.1583251953125,280.7651062011719,268.34344482421875,260.257080078125,229.6135406494141,255.2577362060547,214.15216064453125,215.3606719970703,231.39846801757807,212.6631317138672,245.53790283203125,245.18675231933597,,,
226.1915435791016,239.5484313964844,233.84896850585935,231.08840942382807,197.22073364257807,220.93072509765625,237.7657470703125,221.62991333007807,249.9307098388672,252.93817138671875,235.623046875,231.89813232421875,201.6894989013672,253.65423583984372,268.5599670410156,259.791015625,244.32827758789065,225.0431365966797
233.4278259277344,224.4462127685547,258.1588439941406,250.19488525390625,210.82586669921875,217.55130004882807,253.6777191162109,218.61322021484372,193.51351928710935,194.96026611328125,239.89193725585935,187.46327209472656,174.4800262451172,219.12110900878903,181.5084381103516,224.37228393554688,271.7863464355469,226.5169677734375
263.2358093261719,211.38800048828125,214.2035217285156,266.0941772460937,226.25726318359372,240.0572662353516,248.92886352539065,231.5044708251953,245.11090087890625,,,,,,,,,
204.5390167236328,210.16647338867188,239.7129669189453,220.50091552734372,216.0262756347656,238.28298950195312,231.18099975585935,229.1688537597656,257.6407775878906,217.3597717285156,,,,,,,,
216.94876098632807,208.3331451416016,230.78176879882807,249.90032958984372,222.49728393554688,221.54888916015625,221.5702209472656,215.86282348632807,205.2714080810547,,,,,,,,,
228.1274261474609,221.2888641357422,192.132568359375,213.7164764404297,198.0236968994141,217.81300354003903,216.51666259765625,220.1457061767578,221.6577911376953,230.71240234375,249.5512237548828,223.20925903320312,232.52096557617188,,,,,
224.69337463378903,240.8155212402344,250.83956909179688,226.3212127685547,224.56793212890625,231.94015502929688,231.05743408203125,195.4614715576172,211.2275238037109,245.3335876464844,231.30471801757807,,,,,,,
247.7413330078125,231.03787231445312,229.9628753662109,209.45135498046875,237.0382843017578,216.84320068359372,218.38217163085935,251.6430511474609,265.4665832519531,285.87628173828125,246.1861114501953,233.3693084716797,218.5582733154297,,,,,
