,,,,,,,,,,
246.2781982421875,253.0049743652344,264.66925048828125,248.5487365722656,261.5422668457031,250.6516571044922,243.0230407714844,260.7078857421875,267.09423828125,254.2955474853516,270.7259521484375
242.5161895751953,251.78504943847656,262.0843505859375,254.0635681152344,247.4914703369141,257.3529663085937,250.61038208007807,,,,
263.044921875,249.1161956787109,271.0459289550781,253.0794982910156,241.7484436035156,244.6903381347656,,,,,
239.45651245117188,253.207275390625,241.93875122070312,232.30712890625,229.0167694091797,244.27239990234372,254.55653381347656,239.49215698242188,238.765869140625,235.12921142578125,226.5853271484375
259.9764099121094,253.9801788330078,267.4150085449219,255.11300659179688,231.23753356933597,232.80679321289065,,,,,
232.2162170410156,223.76275634765625,258.15899658203125,248.37890625,232.1911773681641,244.16970825195312,232.7494354248047,238.21258544921875,234.9340667724609,,
244.54714965820312,241.9222869873047,232.1864318847656,231.10015869140625,252.6097869873047,264.23516845703125,,,,,
255.981201171875,253.5426177978516,250.2290802001953,239.5428924560547,239.07736206054688,,,,,,
249.10061645507807,237.17266845703125,234.767822265625,246.98974609375,274.8768920898437,278.1742248535156,251.75802612304688,243.92921447753903,249.1654815673828,263.3602294921875,261.3191223144531
267.81201171875,258.4253845214844,267.9527282714844,274.78643798828125,274.26153564453125,277.8124694824219,,,,,
272.4671630859375,261.8910217285156,289.1401062011719,274.0894470214844,267.1787414550781,,,,,,
