273.1031799316406,255.99237060546875,263.14013671875,269.37664794921875,271.4006042480469,265.67559814453125,249.87664794921875,252.8904266357422,,,,,
262.0172119140625,257.3130798339844,252.4107360839844,265.5458068847656,267.22442626953125,242.15049743652344,251.6834716796875,253.90489196777344,263.9705810546875,257.4599304199219,,,
252.19418334960935,262.3669738769531,264.9740905761719,249.3579864501953,239.15267944335935,260.0214233398437,243.792724609375,238.15899658203125,247.63455200195312,261.2002868652344,270.37432861328125,263.4287109375,
262.9213562011719,258.4949951171875,261.1529541015625,251.19631958007807,254.85226440429688,251.0724334716797,251.21849060058597,,,,,,
238.1597900390625,264.71484375,254.5966644287109,247.51519775390625,244.9134826660156,254.93809509277344,231.21800231933597,237.85574340820312,231.09510803222656,232.09371948242188,242.74046325683597,,
248.62640380859372,239.1782684326172,228.3707733154297,238.23553466796875,238.3346099853516,230.3556060791016,219.2128753662109,233.9063873291016,,,,,
227.56260681152344,231.63772583007807,235.72483825683597,216.8555145263672,248.32345581054688,227.3735809326172,237.64051818847656,225.08616638183597,218.8268280029297,,,,
224.864013671875,227.77267456054688,201.2168731689453,230.6508331298828,235.9829864501953,240.20803833007807,231.3280487060547,206.1511993408203,217.8215789794922,238.142578125,242.0699462890625,,
219.38937377929688,241.69039916992188,241.561767578125,246.8292999267578,253.8307037353516,257.6850891113281,248.53707885742188,278.3570556640625,265.5001220703125,242.16677856445312,230.5618133544922,,
252.96751403808597,248.8112945556641,243.36122131347656,254.743408203125,273.44512939453125,249.03872680664065,245.9607086181641,246.21177673339844,247.48870849609372,266.942138671875,265.6809387207031,271.8694763183594,
250.94314575195312,266.3370056152344,262.6943054199219,253.16458129882807,268.9977111816406,253.36752319335935,,,,,,,
249.51893615722656,236.54769897460935,262.78497314453125,252.3413848876953,268.7727355957031,248.3328399658203,244.67774963378903,254.36045837402344,275.0932006835937,251.9680328369141,263.1674499511719,259.3427734375,269.44305419921875
