123.28793334960938,116.7396240234375,115.7596435546875,98.21734619140624,106.27813720703124,96.92699432373048,83.7674560546875,89.490234375,127.81761169433594,121.84412384033205,123.38722229003906,115.1042251586914,116.11524200439452,122.55828857421876,120.35486602783205,135.18260192871094,138.503662109375
135.80345153808594,126.2680892944336,144.7198944091797,140.82333374023438,137.64321899414062,139.73446655273438,136.7609100341797,129.4121551513672,118.5664291381836,142.81971740722656,141.71600341796875,123.92091369628906,123.28820037841795,,,,
143.6624755859375,140.0186309814453,129.29139709472656,123.58431243896484,140.66348266601562,125.85662841796876,133.95327758789062,129.6326446533203,117.4992904663086,136.261474609375,120.08817291259766,118.28923797607422,104.17097473144533,,,,
161.87371826171875,172.8610076904297,148.6677703857422,160.8026885986328,160.5279083251953,127.89715576171876,113.97571563720705,157.84390258789062,149.48992919921875,158.30538940429688,147.75296020507812,147.89984130859375,132.97000122070312,124.73319244384766,,,
151.38778686523438,133.91595458984375,120.41859436035156,133.89317321777344,192.8903961181641,183.15777587890625,150.2877655029297,162.94789123535156,156.46853637695312,141.20668029785156,169.97454833984375,177.96337890625,187.5435791015625,190.4724884033203,,,
168.31350708007812,167.42681884765625,136.12069702148438,151.60116577148438,159.87815856933594,158.7847137451172,210.24996948242188,207.0216064453125,189.925537109375,156.10748291015625,203.99452209472656,203.49395751953125,204.3214569091797,200.53076171875,,,
142.3847198486328,129.95399475097656,153.3206329345703,172.66876220703125,151.6539764404297,138.20518493652344,164.86390686035156,168.88235473632812,150.41148376464844,146.11428833007812,160.61593627929688,162.8369140625,143.58358764648438,139.29251098632812,,,
145.6421356201172,153.42298889160156,153.38136291503906,155.92662048339844,171.7066650390625,170.42857360839844,161.10533142089844,152.42251586914062,146.49050903320312,152.63116455078125,117.63719940185548,129.8562469482422,152.68084716796875,152.0030975341797,120.60496520996094,126.29361724853516,
119.11873626708984,145.2952423095703,153.9466094970703,129.59288024902344,134.7946319580078,110.2580108642578,118.38053894042967,130.0197296142578,121.52628326416016,138.63040161132812,139.6446990966797,124.25967407226562,126.90080261230467,,,,
119.49375915527344,111.2500991821289,120.60581970214844,97.59667205810548,120.306640625,126.53781127929688,105.914306640625,132.06170654296875,134.03350830078125,108.6758804321289,120.8307876586914,118.21334075927734,122.54000091552734,114.53905487060548,110.22748565673828,,
150.86929321289062,146.4750213623047,121.48396301269533,138.6522979736328,142.22128295898438,131.5348663330078,123.29174041748048,109.9021224975586,137.8256378173828,98.2085418701172,103.1134033203125,,,,,,
126.6925811767578,133.7919158935547,106.8020477294922,109.22948455810548,137.31454467773438,141.18292236328125,138.80133056640625,147.49258422851562,142.81886291503906,145.38514709472656,119.5611343383789,120.849365234375,105.5078353881836,104.24288940429688,111.11813354492188,116.93338012695312,
