202.0235137939453,196.8586883544922,210.74269104003903,188.33116149902344,157.66482543945312,162.7768096923828,159.55316162109375,150.06358337402344,64.04226684570312,172.2552032470703,,,,,
115.3362808227539,153.18917846679688,143.04476928710938,145.9864959716797,194.02001953125,135.74078369140625,193.0100250244141,138.1526641845703,156.68031311035156,161.0483856201172,118.77387237548828,,,,
177.46759033203125,147.63487243652344,141.0923614501953,128.80667114257812,148.1123046875,125.23949432373048,,,,,,,,,
161.98944091796875,159.2758026123047,153.03851318359375,157.85060119628906,147.92478942871094,128.5032501220703,184.4448699951172,144.9380645751953,137.95962524414062,141.51622009277344,,,,,
188.9468994140625,168.35650634765625,184.24903869628903,198.42593383789065,199.92205810546875,184.2974090576172,205.13088989257807,212.59278869628903,211.48313903808597,173.7356719970703,177.56874084472656,160.41868591308594,154.9836883544922,149.83485412597656,160.7647705078125
179.17593383789062,181.9052581787109,189.00433349609372,178.49256896972656,184.92385864257807,160.0041046142578,164.07534790039062,160.80361938476562,188.44329833984372,171.98023986816406,158.31634521484375,200.8629150390625,169.30148315429688,,
148.41775512695312,176.9183807373047,171.75306701660156,176.5244903564453,171.74081420898438,156.67738342285156,172.96080017089844,186.87554931640625,172.67015075683594,195.16458129882807,177.68557739257812,172.72769165039062,185.55116271972656,,
169.48301696777344,181.2423858642578,189.0309600830078,180.8701934814453,180.13858032226562,178.5204315185547,184.85797119140625,188.0337371826172,179.4464569091797,177.2699432373047,177.132568359375,207.4175262451172,183.80650329589844,,
186.433349609375,207.4014129638672,189.04446411132807,175.41661071777344,193.29635620117188,174.2983856201172,193.39987182617188,178.6785888671875,192.93707275390625,186.6248016357422,193.41278076171875,201.26271057128903,180.0748748779297,186.36572265625,
193.82943725585935,163.3883819580078,175.48101806640625,190.0462646484375,172.73211669921875,145.18714904785156,149.50511169433594,168.5452880859375,189.6466064453125,216.45579528808597,197.9359588623047,187.3820343017578,189.41737365722656,171.6657257080078,172.55865478515625
134.5294647216797,154.52197265625,191.48483276367188,193.7656097412109,193.97923278808597,213.6183624267578,144.07411193847656,192.7469024658203,194.84710693359372,222.7679443359375,162.79995727539062,,,,
171.61778259277344,144.80520629882812,93.80215454101562,191.8358459472656,200.0061798095703,196.28453063964844,210.8723907470703,190.5521545410156,134.00173950195312,177.14926147460938,170.94552612304688,,,,
